Body type,Make,Model,Build Year,Generation,Power (in KW),Cylinder capacity,Odometer (km),Fuel,Gearbox,Seats,Upholstery,Doors,Car data from VIN,Minimum bid,Reserve Price,Buy it NOW,PRICE,SEK,Auction ends in,Time,Date,Auction end time,Auto1.com link,AUTO24 Price,Potential,Equipment from auto24,Displacement on auto24.ee listing,Body type on auto24.ee,Age of auto24.ee listing,Auto24.ee link,Auto24 search,page
limo,Audi,A1 1.4 TDI,2016,2015 - 2018,66,"1,422",122775,diesel,duplex,5,Cloth,5,"aide au stationnement AR (APS),
Direction assistée,
Sièges sport AV,
Airbag conducteur et passager,
Airbag lat AV,
Système d\'airbag crânien (Sideguard),
filtre à particules (FAP),
Automatic,
Système d\'antiblocage de frein (ABS),
Système d\'information du conducteur (FIS),
Antidémarrage (électronique),
Système audio Concert (Radio/lecteur CD, Compatible MP3),
Multi-Media-Interface MMI basic / MMI Radio,
Lève-vitre électrique AV,
blocage de différentiel électron. (EDS),
Contrôle dynamique de stabilité (ESP)",10100,0,10664,10664,,23:20:6,18:31,12/10/2023,17:51 13/10/2023,https://www.auto1.com/en/app/merchant/car/YS11498,0,-10664,,,,,,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=2&bw=2022&f1=2015&f2=2018&i[]=2&h[]=2&m[0]=5&d1=5&d2=5,3
suv,BMW,X5 3.0d,2008,2007 - 2009,173,"2,993",291645,diesel,automatic,5,Leather,5,"Anhängerkupplung (Kugelkopf abnehmbar),
Xenon-Scheinwerfer,
Sitzheizung vorn,
Sitzheizung hinten,
Sitze vorn elektr. verstellbar (links mit Memory),
Sitze vorn elektr. verstellbar (links mit Memory),
Panoramadach (Glas),
Front and Rear,
Servolenkung,
Vorrüstung Mobiltelefon/Handy Business mit Bluetooth Schnittstelle,
Sportliche Fahrwerksabstimmung,
Sportsitze vorn elektr. verstellbar (links mit Memory),
Sportsitze vorn,
Audio-Navigationssystem Professional,
Audio-Navigationssystem Professional mit integrierter Handyvorrüstung,
Airbag Fahrer-/Beifahrerseite,
Kopf-Airbag-System hinten,
Kopf-Airbag-System vorn,
Seitenairbag vorn,
Rußpartikelfilter,
Klimaautomatik 2-Zonen mit autom. Umluft-Control,
Bordcomputer,
Bordmonitor mit Farbbildschirm,
Antriebsart: Allradantrieb permanent,
Antriebsart: xDrive (Allrad),
Anti-Blockier-System (ABS),
Radio CD,
Fensterheber elektrisch vorn + hinten,
Dynamische Stabilitäts-Control (DSC)",7107,0,0,7107,,23:3:3,18:31,12/10/2023,17:34 13/10/2023,https://www.auto1.com/en/app/merchant/car/SZ79593,8399,1292,"ABS brakes,
airbag,
braking force regulator,
central locking (with remote control),
immobilizer,
power steering,
rain sensor,
stability control,
third brake light,
traction control,
air conditioner,
cruise control,
electrically adjustable mirrors (heated mirrors, folding, with memory),
parking aid (front, rear),
power windows,
spot lights,
tinted windows,
black roof liner,
electrically adjustable seats (with memory),
fine laths inside saloon (wood inlay),
front armrest (with compartment),
interior mats (rubber),
leather interior,
leather steering wheel,
multifunctional steering wheel,
rear armrest (with compartment),
seat heating,
steering wheel adjustment (height and depth, electrical, with memory),
car stereo (CD, original),
CD changer,
electric antenna,
hands free,
navigation system (with map, with voice recognition),
onboard computer,
screen (in front),
speakers,
light alloy wheels,
winter tires (all season tires),
fog lights (front, rear),
headlight range adjustment,
headlight washers,
lighting pack,
Xenon headlight (low beam, high beam),
luggage cover,
outside temperature display,
rear window heating,
saloon and luggage department isolation net",3.0,touring,,https://eng.auto24.ee/vehicles/3939353,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=4&bw=21&f1=2007&f2=2009&i[]=2&h[]=2&m[0]=5&d1=5&d2=5&e[0]=59,3
bus,Volkswagen,T6 Caravelle 2.0 TDI,2017,,110,"1,968",85732,diesel,duplex,9,Cloth,4,"Anhängerkupplung (Kugelkopf abnehmbar),
Park-Distance-Control vorn und hinten,
Mobiltelefon Schnittstelle Bluetooth,
Servolenkung,
Airbag Beifahrer abschaltbar,
Airbag Fahrer-/Beifahrerseite,
Klimaautomatik Climatronic (Fahrerhaus + Fahrgast-/Laderaum),
Rußpartikelfilter,
Multifunktionsanzeige Plus,
Audiosystem Composition Media (Radio/CD-Player, MP3-Wiedergabefunktion),
Wegfahrsperre (elektronisch),
Elektron. Stabilitäts-Programm (ESP) mit Bremsassistent, ASR/ABS, EDS und Berganfahrhilfe,
Anti-Blockier-System (ABS)",28000,0,29018,29018,,23:25:34,18:31,12/10/2023,17:57 13/10/2023,https://www.auto1.com/en/app/merchant/car/ZY35689,0,-29018,,,,,,,3
suv,Renault,Captur 1.5 dCi Energy,2017,2013 - 2017,81,"1,461",169446,diesel,manual,5,Leather,5,"aide au stationnement AR,
Direction assistée asservie à la vitesse,
téléphonie mains libres Bluetooth,
Système audio et navigation avec Ecran tactile couleur (Media Nav),
airbag antisoumarinage à l'AR,
Airbag conducteur et passager,
Airbag coté passager désactivable,
Airbag lat AV,
filtre à particules (FAP),
Climatisation automatique,
Connexion USB comprenant connexion AUX-IN (Plug & Music),
Système d'antiblocage de frein (ABS),
Ordinateur de bord,
Lève-vitre élect. avec Générateur d'impulsions AV,
Lève-vitre électrique AR,
Lève-vitre électrique AV,
Contrôle dynamique de stabilité (ESP),
Antidémarrage",9297,9297,0,9297,,23:16:11,18:31,12/10/2023,17:47 13/10/2023,https://www.auto1.com/en/app/merchant/car/LX91349,0,-9297,,,,,,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=19&bw=2205&f1=2013&f2=2017&i[]=1&h[]=2&m[0]=5&d1=5&d2=5&e[0]=59,3
combi,Audi,A6 Allroad 3.0 V6 TDI clean diesel,2018,2018 - None,235,"2,967",72221,diesel,automatic,5,Alcantara,5,"Xenon-Scheinwerfer Plus (Abblend- und Fernlicht),
Standheizung,
Sitzheizung vorn,
Einparkhilfe vorn und hinten, optisch (APS Plus),
Rückfahrkamera,
Bluetooth-Freisprecheinrichtung mit Spracherkennung (Audi Phone Box),
Servolenkung elektro-mechanisch,
Sportsitze vorn,
Airbag Fahrer-/Beifahrerseite,
Kopf-Airbag-System (Sideguard),
Seitenairbag vorn,
Seitenairbag hinten,
Multi-Media-Interface MMI Navigation Plus mit MMI Touch,
Rußpartikelfilter,
Komfort-Klimaautomatik 4-Zonen,
Fahrassistenz-System: Autom. Distanzregelung (Adaptive Cruise Control) mit Stop&Go-System inkl. Audi pre sense front,
Wegfahrsperre (elektronisch),
Antriebsart: Allradantrieb permanent,
Elektron. Differentialsperre (EDS),
Elektron. Stabilitäts-Programm (ESP),
Fensterheber elektrisch vorn + hinten,
Anti-Blockier-System (ABS),
Multifunktionsanzeige / Bordcomputer,
Fahrer-Informations-System (FIS) mit Farbdisplay,
In navigation system",29300,0,0,29300,,22:43:36,18:31,12/10/2023,17:15 13/10/2023,https://www.auto1.com/en/app/merchant/car/YF15658,38900,9600,"ABS brakes,
airbag,
anti-theft alarm system,
auto-hold brakes,
automatic braking system,
Blind Spot Detection,
braking force regulator,
central locking (with remote control),
collision avoidance system,
driver drowsiness detection system,
electric handbrake,
front passenger airbag isolation,
immobilizer,
ISOFIX child seat preparation (on rear seat),
lane assist,
lane change assist,
power steering (speed-proportional),
rain sensor,
seatbelt pre-tighteners on front seats,
side curtain airbags,
stability control,
third brake light,
traction control,
traffic sign assist,
2x door curtains,
2x mirrors in sunshields (enlighted),
4x power windows,
automatic anti-dazzle mirrors (inner),
automatic parking function,
climate control,
closing aid for doors,
Coming-/Leaving-Home system,
cruise control (keep the distance to the vehicle in front),
electrically adjustable mirrors (folding),
electrical tailgate opening system (remote),
engine pre-heating,
head-up display,
inside illuminated doors,
keyless entry,
keyless start,
panorama glass roof,
parking aid (front, rear),
parking camera,
sliding load floor,
spot lights,
sunroof (electric),
tinted windows,
virtual cockpit,
wireless charging,
2x electrically adjustable seats (2x with memory),
2x seat heating,
adjustable seat height (driver's seat, front passenger seat),
black roof liner,
cup holders (in the front, in the back),
down folding back rest,
fine laths inside saloon,
front armrest,
gear change from steering wheel,
half-leather padding,
interior mats (textile),
leather shift lever,
leather steering wheel,
multifunctional steering wheel,
pockets on backside of the front seats,
racing seats,
racing steering wheel,
rear armrest,
steering wheel adjustment (electrical, with memory),
Android Auto,
Apple CarPlay,
Bose car stereo (MP3, with USB interface, with memory card interface, original),
Bose Original stereo amplifier,
Bose Original subwoofer,
hands free,
navigation system,
onboard computer,
screen (in front),
comes with the car (summer tires),
light alloy wheels (R21, Audi original),
winter tires (all season tires),
adaptive lights,
fog lights (front, rear, cornering light function),
headlight range adjustment,
headlight washers,
high-beam assistant,
LED (daytime running lights, low beam, high beam),
lighting pack,
special light switch-dim-dip-light,
Xenon headlight (low beam),
rear spoiler,
12v power outlet,
adaptive suspension,
adjustable suspension (electrically, stiffness, height),
cargo attachment hooks,
cooling glove box,
double glazing,
electrically heated windshield,
fire extinguisher,
luggage cover (automatic),
outside temperature display,
rear window cleaner,
rear window heating,
roof railings,
start-stop system,
tire repair kit",3.0,touring,,https://eng.auto24.ee/vehicles/3879016,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=2&bw=1925&f1=2018&f2=None&i[]=2&h[]=2&m[0]=5&d1=5&d2=5,3
limo,Peugeot,208 1.4 HDi,2013,2012 - 2015,50,"1,398",128341,diesel,semi-automatic,5,Cloth,5,"Rear,
Integrated,
Front zones,
Radio CD USB",5105,0,0,5105,,22:36:49,18:31,12/10/2023,17:08 13/10/2023,https://www.auto1.com/en/app/merchant/car/RR40384,5300,195,,1.4,hatchback,,https://eng.auto24.ee/vehicles/3949081,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=16&bw=2148&f1=2012&f2=2015&i[]=2&h[]=2&m[0]=5&d1=5&d2=5,4
van,Renault,Grand Scenic 1.6 dCi Energy,2016,2016 - None,118,"1,598",89856,diesel,duplex,5,Leather,5,"Detachable tow hitch,
Sitzheizung vorn,
Sitzheizung vorn,
Sitz vorn links elektr. verstellbar,
Sitze vorn elektr. verstellbar (mit Memory),
Panoramadach fest (Glas),
Einparkhilfe vorn und hinten,
Servolenkung elektrisch,
Freisprecheinrichtung Bluetooth,
Navigations-Paket,
Audio-Navigationssystem R-Link 2 mit Touchscreen-Farbdisplay,
Navigationssystem,
Airbag Beifahrerseite abschaltbar,
Airbag Fahrer-/Beifahrerseite,
Kopf-Airbag-System hinten,
Kopf-Airbag-System vorn,
Seitenairbag vorn,
Rußpartikelfilter,
Klimaautomatik 2-Zonen mit autom. Umluft-Control,
Adaptive Geschwindigkeitsregelanlage,
Anti-Blockier-System (ABS),
Bordcomputer,
Elektron. Stabilitäts-Programm (ESP),
Fensterheber elektr. mit Einklemmschutz,
Fensterheber elektrisch vorn + hinten",13879,0,14427,14427,,22:34:15,18:31,12/10/2023,17:05 13/10/2023,https://www.auto1.com/en/app/merchant/car/MW75738,0,-14427,,,,,,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=19&bw=885&f1=2016&f2=None&i[]=2&h[]=2&m[0]=5&d1=5&d2=5&e[0]=59,4
suv,Nissan,Qashqai 1.5 dCi,2020,2020 - None,85,"1,461",68277,diesel,manual,5,Cloth,5,"Front and Rear,
airbag lato guida / lato passeggero e airbag lat. ant.,
Automatic,
sistema antibloccaggio (ABS),
Radio CD",14500,0,0,14500,,22:39:58,18:31,12/10/2023,17:11 13/10/2023,https://www.auto1.com/en/app/merchant/car/XT04273,0,-14500,,,,,,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=11&bw=1006&f1=2020&f2=None&i[]=1&h[]=2&m[0]=5&d1=5&d2=5,4
limo,Volkswagen,Golf V 2.0 TDI,2005,2005 - 2008,103,"1,968",450180,diesel,manual,5,Cloth,3,"Faros Xenon,
Techo corredizo/elevable eléctric. (Cristal) con Preselección automática,
Dirección asistida,
Tren de rodaje deportivo,
Asientos deportivos delante,
Airbag conductor/acompañante,
Airbag lateral delante con Unidad de airbag para la cabeza,
Climatizador automático,
Sistema de audio RCD 300 plus (Radio/Lector de CD, 10 Altavoces),
Alarma antirrobo,
Elevalunas eléctric. delante,
Sistema antibloqueo (ABS),
Programa electrónico de estabilidad (ESP),
Indicador multifunción / Ordenador de a bordo",1454,0,1657,1657,,22:39:18,18:31,12/10/2023,17:11 13/10/2023,https://www.auto1.com/en/app/merchant/car/AD48712,3800,2143,"2x airbag,
ABS brakes,
anti-theft alarm system,
braking force regulator,
central locking (with remote control),
immobilizer,
power steering,
rain sensor,
stability control,
third brake light,
traction control,
cruise control,
electrically adjustable mirrors (heated mirrors),
power windows,
tinted windows,
virtual cockpit,
down folding back rest,
front armrest (with compartment),
interior mats (velour),
leather steering wheel,
multifunctional steering wheel,
steering wheel adjustment (height and depth),
car stereo (MP3, original),
onboard computer,
speakers,
summer tires,
winter tires (all season tires),
luggage cover,
outside temperature display,
rear window cleaner,
rear window heating",2.0,hatchback,,https://eng.auto24.ee/vehicles/3944033,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=8&bw=2&f1=2005&f2=2008&i[]=1&h[]=2&m[0]=3&d1=5&d2=5,4
limo,BMW,5er 530e,2019,2018 - 2022,135,"1,998",178183,hybrid,automatic,5,Leather,4,"Sitzheizung vorn,
Sitzheizung vorn + hinten,
Park-Distance-Control (PDC) vorn und hinten,
Freisprecheinrichtung Bluetooth mit USB-/Audio-Schnittstelle,
Sprachbediensystem,
Servolenkung Servotronic,
Airbag Beifahrerseite abschaltbar,
Airbag Fahrer-/Beifahrerseite,
Knieairbag Fahrerseite,
Kopf-Airbag-System hinten,
Kopf-Airbag-System vorn,
Seitenairbag vorn,
Navigations-Paket ConnectedDrive,
Audio-Navigationssystem Professional,
Klimaautomatik 2-Zonen mit autom. Umluft-Control, erweiterter Umfang,
Klimaautomatik 4-Zonen mit autom. Umluft-Control,
Wegfahrsperre,
Geschwindigkeits-Regelanlage, Aktiv mit Stop&Go-Funktion,
Schiebe-/Hebedach elektrisch (Glas),
Alarmanlage,
Alarmanlage,
Anti-Blockier-System (ABS),
Bordcomputer,
Dynamische Stabilitäts-Control (DSC),
Fensterheber elektrisch vorn + hinten,
In navigation system",16000,0,0,16000,,22:28:21,18:31,12/10/2023,17:00 14/10/2023,https://www.auto1.com/en/app/merchant/car/VB69374,23000,7000,"ABS brakes,
airbag,
anti-theft alarm system,
auto-hold brakes,
automatic braking system,
braking force regulator,
central locking (with remote control),
collision avoidance system,
driver drowsiness detection system,
electric handbrake,
front passenger airbag isolation,
immobilizer,
ISOFIX child seat preparation (on rear seat),
power steering (speed-proportional),
rain sensor,
seatbelt pre-tighteners on front seats,
side curtain airbags,
stability control,
third brake light,
traction control,
4x power windows,
automatic anti-dazzle mirrors,
automatic parking function,
climate control,
Coming-/Leaving-Home system,
cruise control,
electrically adjustable mirrors (heated mirrors, folding),
electrical tailgate opening system (remote),
inside illuminated doors,
interior pre-heating,
mirrors in sunshields (enlighted),
parking aid (front, rear),
parking camera (360),
spot lights,
2x electrically adjustable seats,
adjustable seat height (driver's seat, front passenger seat),
cup holders,
down folding back rest,
fine laths inside saloon,
front armrest,
gear change from steering wheel,
interior mats (rubber),
leather interior,
leather steering wheel,
multifunctional steering wheel,
pockets on backside of the front seats,
rear armrest,
steering wheel adjustment (height and depth),
car stereo (original),
electric antenna,
hands free,
navigation system,
onboard computer,
screen (in front),
speakers,
comes with the car (summer tires),
light alloy wheels (18),
tire pressure monitoring system,
winter tires (all season tires),
adaptive lights,
fog lights (front, rear),
LED (daytime running lights, rear lights, low beam, high beam),
lighting pack,
special light switch-dim-dip-light,
12v power outlet,
ASSYST,
cargo attachment hooks,
fire extinguisher,
outside temperature display,
rear window heating,
start-stop system,
tire repair kit,
windshield washer defrost,
võtmeta käivitussüsteem,
juhtmevaba Apple CarPlay,
telefoni juhtmeta laadimise funktsioon,
BMW Display Key,
BMW Gesture Control,
laadimiskaabel,
info kuvamine esiklaasile",2.0,sedan,,https://eng.auto24.ee/vehicles/3744833,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=4&bw=1189&f1=2018&f2=2022&i[]=2&h[]=5&m[0]=4&d1=5&d2=5&e[0]=59,4
van,Ford,C-Max 1.6 TDCi,2011,2006 - 2014,85,"1,560",176940,diesel,manual,5,Cloth,5,"Fixed,
Sitzheizung vorn,
Rear,
Vorrüstung Mobiltelefon/Handy,
Sprachsteuerung und Bluetooth-Schnittstelle,
Servolenkung elektrisch,
Airbag Fahrer-/Beifahrerseite,
Kopf-Schulter-Airbag vorn und hinten,
Seitenairbag vorn,
Automatic,
Rußpartikelfilter,
Wegfahrsperre,
Radio CD,
Bordcomputer,
Elektron. Stabilitäts-Programm (ESP),
Anti-Blockier-System (ABS),
Fensterheber elektrisch vorn + hinten",3092,0,0,3092,28786.52,23:12:42,18:31,12/10/2023,17:44 13/10/2023,https://www.auto1.com/en/app/merchant/car/VH88007,899,-2193,"ABS brakes,
airbag,
anti-theft alarm system,
braking force regulator,
central locking,
immobilizer,
power steering,
stability control,
third brake light,
traction control,
4x power windows,
climate control,
electrically adjustable mirrors,
inside illuminated doors,
tinted windows,
adjustable seat height,
cup holders,
fine laths inside saloon,
front armrest,
interior mats,
multifunctional steering wheel,
rear armrest,
steering wheel adjustment,
textile upholstery,
car stereo,
speakers,
light alloy wheels,
spare wheel,
summer tires,
headlight range adjustment,
rear spoiler,
12v power outlet,
outside temperature display,
rear window cleaner,
rear window heating,
tow hitch",1.8,minivan,,https://eng.auto24.ee/vehicles/3919500,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=7&bw=971&f1=2006&f2=2014&i[]=1&h[]=2&m[0]=5&d1=5&d2=5,4
combi,Mercedes-Benz,E-Klasse 280 TE,1995,,142,"2,799",259841,petrol,automatic,5,Part leather,5,"Anhängerkupplung,
Servolenkung,
Airbag Beifahrerseite,
Airbag Fahrer-/Beifahrerseite,
Airbag Fahrerseite,
Airbag Fahrer-/Beifahrerseite,
Airbag Fahrerseite,
Airbag Fahrerseite,
Klimaanlage,
Klimaanlage (Varianten),
Anti-Blockier-System (ABS),
Fensterheber elektrisch vorn + hinten,
Schiebe-/Hebedach elektrisch,
Radio Cassette",10408,10408,0,10408,,22:28:28,18:31,12/10/2023,17:00 14/10/2023,https://www.auto1.com/en/app/merchant/car/KY97434,0,-10408,,,,,,,4
suv,BMW,X1 xDrive 18d,2012,2009 - 2012,105,"1,995",239767,diesel,automatic,5,Cloth,5,"Dispositif d'attelage à boule amovible,
Park-Distance-Control (PDC),
Cde vocale,
Direction assistée Servotronic,
Airbag conducteur et passager,
Airbag lat AV,
Système d'airbag crânien AR,
Système d'airbag crânien AV,
Système audio et navigation Business,
filtre à particules (FAP),
Climatisation automatique avec contrôle autom. circulation d\'air,
Antidémarrage,
Contrôle dynamique de stabilité (ESP),
Lève-vitre électrique AV + AR,
Mode de transmission Traction intégrale permanente,
Mode de transmission xDrive (Transmission intégrale),
Ordinateur de bord,
Système d'antiblocage de frein (ABS),
Système audio BMW Professional (Radio/lecteur CD Compatible MP3)",6220,0,0,6220,,22:32:32,18:31,12/10/2023,17:04 13/10/2023,https://www.auto1.com/en/app/merchant/car/FS43657,7499,1279,"ABS brakes,
airbag,
braking force regulator,
central locking (with remote control),
ISOFIX child seat preparation (on rear seat),
rain sensor,
traction control,
air conditioner,
Coming-/Leaving-Home system,
cruise control,
panorama glass roof,
parking aid (front, rear),
cup holders (in the front, in the back),
interior mats (rubber),
pockets on backside of the front seats,
racing steering wheel,
steering wheel adjustment (height and depth),
textile upholstery,
hands free,
navigation system (with map),
onboard computer,
screen (in front),
speakers,
comes with the car (summer tires, winter tires),
fog lights (front, rear),
headlight washers,
LED (daytime running lights),
Xenon headlight,
12v power outlet,
rear window heating,
start-stop system,
tire repair kit,
tow hitch",2.0,touring,,https://eng.auto24.ee/vehicles/3925975,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=4&bw=2010&f1=2009&f2=2012&i[]=2&h[]=2&m[0]=5&d1=5&d2=5,4
other,Mazda,2 1.5 Diesel,2017,2017 - None,77,"1,499",62393,petrol,manual,5,Cloth,5,"Rear,
viva voce con Voice-Control e Bluetooth,
servosterzo elettroidraulico,
Sistema audio: impianto radio,
aibag spalle-testa ant.,
aibag spalle-testa post.,
airbag lat. ant.,
airbag lato guida,
airbag lato passeggero,
sistema airbag lato passeggero disinseribile,
Integrated,
filtro antiparticolato,
climatizzatore,
sistema antibloccaggio (ABS),
immobilizzatore (elettronico),
dinamic. controllo stabilità (DSC),
alzacristalli elettr. ant. + post.",6150,0,0,6150,,22:37:47,18:31,12/10/2023,17:09 13/10/2023,https://www.auto1.com/en/app/merchant/car/EF47507,0,-6150,,,,,,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=6&bw=877&f1=2017&f2=None&i[]=1&h[]=1&m[0]=5&d1=5&d2=5,4
cabrio,Smart,fortwo 0.9 Turbo,2011,2011 - None,62,999,60318,petrol,semi-automatic,2,Part leather,2,"Sitzheizung,
Tritop (vollautomatisch / elektrisch),
Servolenkung mit elektr. Antriebsmotor,
Integrated,
Airbag Fahrer-/Beifahrerseite,
Elektron. Stabilitäts-Programm (ESP) mit Anfahr-Assistent,
Anti-Blockier-System (ABS),
Zentralverriegelung mit Fernbedienung und Wegfahrsperre,
Fensterheber elektrisch vorn",4578,0,0,4578,,23:15:18,18:31,12/10/2023,17:47 13/10/2023,https://www.auto1.com/en/app/merchant/car/YM01160,0,-4578,,,,,,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=102&bw=1380&f1=2011&f2=None&j[]=6&i[]=2&h[]=1&m[0]=2&d1=2&d2=2&e[0]=60,4
limo,Abarth,595 1.4 Turbo,2018,,121,"1,368",105395,petrol,manual,4,Leather,3,"Einparkhilfe hinten,
Einparkhilfe elektronisch,
Freisprechanlage Bluetooth,
Elektrische Servolenkung Dual-Drive,
Sport-Fahrwerk tiefergelegt,
Sportsitze Leder,
Airbag Fahrer-/Beifahrerseite,
Beifahrerairbag abschaltbar,
Knieairbag Fahrerseite,
Kopf-Airbag-System vorn und hinten,
Seitenairbag vorn,
Infotainment-System: UConnect mit MP3-Player, Navigationssystem und DAB Radioempfang (Touchscreen 7""),
Klimaautomatik,
Wegfahrsperre (elektronisch),
Multifunktionsanzeige mit Farbdisplay,
USB-Schnittstelle,
Smartphone Schnittstelle (Apple CarPlay & Android Auto),
Fensterheber elektrisch vorn,
Elektron. Stabilitäts-Programm (ESP),
Elektron. Differentialsperre,
Bordcomputer,
Anti-Blockier-System (ABS)",10838,0,0,10838,,23:17:16,18:31,12/10/2023,17:48 14/10/2023,https://www.auto1.com/en/app/merchant/car/HJ63031,0,-10838,,,,,,,4
combi,Ford,Focus 1.5 TDCi,2018,2014 - 2018,88,"1,499",143825,diesel,manual,5,Cloth,5,"Sistema de asistencia para aparcamiento delante y detrás,
Sistema de control por voz y Instalación Bluetooth,
Preinstalación Teléfono móvil con Bluetooth-/Conector USB,
Dirección asistida eléctric.,
Dirección asistida, electrohidráulico,
Airbag lateral delante, lado del conductor,
Airbag conductor/acompañante,
Airbag-cabeza-hombros delante y detrás,
Airbag lateral delante,
Sistema audio-navegador Ford Plus con pantalla táctil en color (7 Pulgada),
Sistema audio-navegador Ford SD (con Ford SYNC),
Filtro partículas,
Climatizador automático 2-zonas,
Programa electrónico de estabilidad (ESP),
Sistema antibloqueo (ABS),
conexión AUX-IN,
Conexión USB,
Instalación Bluetooth,
Sistema de audio: Radio,
Conexión USB,
Instalación Bluetooth,
Conexión USB,
Elevalunas eléctric. detrás,
Elevalunas eléctric. delante + detrás con cerradura confort,
Inmovilizador (electrónico),
Ordenador de a bordo",11146,11146,0,11146,,23:24:46,18:31,12/10/2023,17:56 13/10/2023,https://www.auto1.com/en/app/merchant/car/CS43569,5000,-6146,,,hatchback,,https://eng.auto24.ee/vehicles/3948031,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=7&bw=63&f1=2014&f2=2018&i[]=1&h[]=2&m[0]=5&d1=5&d2=5,4
limo,BMW,3er 320d GT,2013,2013 - 2018,135,"1,995",192900,diesel,automatic,5,Cloth,5,"Bi-Xenon-Scheinwerfer,
Sitzheizung vorn,
Park-Distance-Control (PDC) vorn und hinten,
Freisprecheinrichtung Bluetooth mit USB-/Audio-Schnittstelle,
Freisprecheinrichtung Bluetooth mit erweiterte Smartphone-Anbindung,
Freisprecheinrichtung Bluetooth mit USB-/Audio-Schnittstelle,
Servolenkung Servotronic,
Sportsitze vorn,
Navigations-Paket ConnectedDrive,
Audio-Navigationssystem Professional,
Airbag Fahrer-/Beifahrerseite,
Kopf-Airbag-System hinten,
Kopf-Airbag-System vorn,
Seitenairbag hinten,
Seitenairbag vorn,
Klimaautomatik 2-Zonen mit autom. Umluft-Control,
Rußpartikelfilter,
AUX-IN-Anschluss (AUX-IN),
Farbmonitor (6,5 Zoll),
Audiosystem BMW Professional (Radio / DVD-Laufwerk MP3-fähig),
Panoramadach (Glas),
Antriebsart: xDrive (Allrad),
Anti-Blockier-System (ABS),
Dynamische Stabilitäts-Control (DSC),
Fensterheber elektrisch vorn + hinten,
Bordcomputer,
Wegfahrsperre",7900,0,0,7900,,23:3:46,18:31,12/10/2023,17:35 14/10/2023,https://www.auto1.com/en/app/merchant/car/AK47553,9500,1600,"ABS brakes,
airbag,
automatic braking system,
braking force regulator,
central locking (with remote control),
collision avoidance system,
electric handbrake,
immobilizer,
ISOFIX child seat preparation (on rear seat),
power steering (speed-proportional),
rain sensor,
side curtain airbags,
stability control,
third brake light,
traction control,
traffic sign assist,
climate control,
Coming-/Leaving-Home system,
cruise control (keep the distance to the vehicle in front),
electrically adjustable mirrors (heated mirrors),
electrical tailgate opening system (remote),
keyless start,
mirrors in sunshields (enlighted),
parking aid (rear),
power windows,
spot lights,
tinted windows,
adjustable seat height (driver's seat, front passenger seat),
cup holders (in the front, in the back),
down folding back rest,
fine laths inside saloon,
front armrest (with compartment),
interior mats (textile),
leather-coated hand brake handle,
leather interior,
leather shift lever,
leather steering wheel,
multifunctional steering wheel,
pockets on backside of the front seats,
rear armrest (with compartment),
seat heating,
steering wheel adjustment (height and depth),
car stereo (CD, with USB interface, original),
GSM antenna,
hands free,
navigation system (with map, with voice recognition),
onboard computer,
screen (in front),
speakers,
light alloy wheels,
summer tires,
tire pressure monitoring system,
winter tires (spike tires),
comes with the carwinter tires (spike tires)alloy wheels,
winter tires (spike tires),
alloy wheels,
fog lights (front, rear),
headlight range adjustment,
LED (daytime running lights, rear lights, low beam, high beam),
lighting pack,
special light switch-dim-dip-light,
12v power outlet,
cargo attachment hooks,
luggage cover,
luggage net,
outside temperature display,
rear window cleaner,
rear window heating,
roof railings,
saloon and luggage department isolation net,
start-stop system,
tow hitch (electrical)",2.0,touring,,https://eng.auto24.ee/vehicles/3947066,https://eng.auto24.ee/kasutatud/nimekiri.php?bn=2&a=100&aj=&ae=2&af=50&ssid=101422378&b=4&bw=1173&f1=2013&f2=2018&i[]=2&h[]=2&m[0]=5&d1=5&d2=5,4
